"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","431","shouldNotFavouriteImageDontExist","","Sun Jun 01 00:29:28 GMT 2025","passed","Sun Jun 01 00:29:28 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteImageDontExist"
"","328","healthCheck","","Sun Jun 01 00:29:27 GMT 2025","passed","Sun Jun 01 00:29:28 GMT 2025","","com.clark.general.BreedsHealthCheckTest","com.clark.general.BreedsHealthCheckTest","healthCheck"
"","413","shouldNotUploadCatImageWithIncompleteFormData","","Sun Jun 01 00:29:37 GMT 2025","passed","Sun Jun 01 00:29:38 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldNotUploadCatImageWithIncompleteFormData"
"","8066","completeSimulation","","Sun Jun 01 00:29:19 GMT 2025","passed","Sun Jun 01 00:29:27 GMT 2025","","com.clark.e2e.FullE2ETest","com.clark.e2e.FullE2ETest","completeSimulation"
"","1935","imagesUploadContractOnV1","","Sun Jun 01 00:29:33 GMT 2025","passed","Sun Jun 01 00:29:35 GMT 2025","","com.clark.images.ImagesContractTest","com.clark.images.ImagesContractTest","imagesUploadContractOnV1"
"","2474","shouldFavouriteImageWithSuccess","","Sun Jun 01 00:29:28 GMT 2025","passed","Sun Jun 01 00:29:30 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldFavouriteImageWithSuccess"
"","2195","shouldNotUploadDogImage","","Sun Jun 01 00:29:38 GMT 2025","passed","Sun Jun 01 00:29:40 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldNotUploadDogImage"
"","253","shouldNotFavouriteSameImageAgain","","Sun Jun 01 00:29:30 GMT 2025","passed","Sun Jun 01 00:29:31 GMT 2025","","com.clark.favourite.FavouriteFunctionalTest","com.clark.favourite.FavouriteFunctionalTest","shouldNotFavouriteSameImageAgain"
"","2017","shouldUploadCatImage","","Sun Jun 01 00:29:35 GMT 2025","passed","Sun Jun 01 00:29:37 GMT 2025","","com.clark.images.ImagesFunctionalTest","com.clark.images.ImagesFunctionalTest","shouldUploadCatImage"
"","2632","favouritePOSTContractOnV1","","Sun Jun 01 00:29:31 GMT 2025","passed","Sun Jun 01 00:29:33 GMT 2025","","com.clark.favourite.FavouriteContractTest","com.clark.favourite.FavouriteContractTest","favouritePOSTContractOnV1"
